file,broker,company,rating,broker_clean
Copy of -2147473999.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147473996.pdf,Axis Securities,Affle Ltd,BUY,Axis Securities
Copy of -2147474001.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147473995.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147473997.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147473993.pdf,HSIE Research,Karur Vysya Bank,BUY,HSIE Research
Copy of -2147474011.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474005.pdf,HSIE Research,Indian Oil Corp,BUY,HSIE Research
Copy of -2147474003.pdf,ICICI Securities,Pfizer Ltd,BUY,ICICI Securities
Copy of -2147474007.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
Copy of -2147474014.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474016.pdf,YES Securities,Indian Oil Corp,BUY,YES Securities
Copy of -2147474017.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474013.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474015.pdf,YES Securities,UNKNOWN,BUY,YES Securities
Copy of -2147474030.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474025.pdf,YES Securities,CreditAccess Grameen Limited,BUY,YES Securities
Copy of -2147474031.pdf,ICICI Securities,Pricol Ltd,BUY,ICICI Securities
Copy of -2147474023.pdf,Institutional Research,UNKNOWN,BUY,Institutional Research
Copy of -2147474029.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
Copy of -2147474024.pdf,IDBI Capital,UNKNOWN,SELL,IDBI Capital
Copy of -2147474026.pdf,Nirmal Bang Institutional Equities Research,Advanced Enzyme Technologies,ACCUMULATE,Nirmal Bang Institutional Equities Research
Copy of -2147474028.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474033.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
Copy of -2147474040.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474051.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474050.pdf,YES Securities,Amber Enterprises Ltd,BUY,YES Securities
Copy of -2147474046.pdf,YES Securities,Bharti Airtel Ltd,ADD,YES Securities
Copy of -2147474047.pdf,Institutional Research,UNKNOWN,BUY,Institutional Research
Copy of -2147474042.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474055.pdf,YES Securities,Sterlite Technologies,BUY,YES Securities
Copy of -2147474054.pdf,IDBI Capital,Kajaria Ceramic Ltd,BUY,IDBI Capital
Copy of -2147474053.pdf,YES Securities,Whirlpool of India Ltd,BUY,YES Securities
Copy of -2147474056.pdf,YES Securities,Chemplast Sanmar Ltd,BUY,YES Securities
Copy of -2147474062.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474068.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474064.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474072.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474076.pdf,YES Securities,ITC Ltd,ADD,YES Securities
Copy of -2147474073.pdf,HSIE Research,State Bank,BUY,HSIE Research
Copy of -2147474077.pdf,YES Securities,State Bank,BUY,YES Securities
Copy of -2147474074.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474081.pdf,ICICI Securities,State Bank,BUY,ICICI Securities
